0 A B C D E F G H I J K L S

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 8.7798 21.4 15.7 0 0 0 0 0 0 0 0 0
0 8.7798 0 0 0 0 0 0 0 0 0 0 0 7.2012
0 21.4 0 0 0 14.2877 9.2 0 0 0 0 0 0 0
0 15.7 0 0 0 0 0 4.7 15.8 0 0 0 0 0
0 0 0 14.2877 0 0 0 0 0 0 0 0 0 0
0 0 0 9.2 0 0 0 0 0 16.1 7.4 0 0 0
0 0 0 0 4.7 0 0 0 0 0 0 0 0 0
0 0 0 0 15.8 0 0 0 0 9.2 0 5.8264 0 0
0 0 0 0 0 0 16.1 0 9.2 0 0 0 10.5 0
0 0 0 0 0 0 7.4 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 5.8264 0 0 0 0 0
0 0 0 0 0 0 0 0 0 10.5 0 0 0 0
0 0 7.2012 0 0 0 0 0 0 0 0 0 0 0
