0 A B C D E F G H I J K L O

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 8.2 21.4 15.7 0 0 0 0 0 0 0 0 0
0 8.2 0 0 0 0 0 0 0 0 0 0 0 0
0 21.4 0 0 0 13.8 9.2 0 0 0 0 0 0 0
0 15.7 0 0 0 0 0 4.657 15.8 0 0 0 0 0
0 0 0 13.8 0 0 0 0 0 0 0 0 0 0
0 0 0 9.2 0 0 0 0 0 16.1 6.782 0 0 0
0 0 0 0 4.657 0 0 0 0 0 0 0 0 0
0 0 0 0 15.8 0 0 0 0 9.2 0 6.8381 0 0
0 0 0 0 0 0 16.1 0 9.2 0 0 0 10.6129 0
0 0 0 0 0 0 6.782 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 6.8381 0 0 0 0 0
0 0 0 0 0 0 0 0 0 10.6129 0 0 0 11.6908
0 0 0 0 0 0 0 0 0 0 0 0 11.6908 0
