0 A B C D E F G H I J K L R

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 8.4828 21.4 15.7 0 0 0 0 0 0 0 0 0
0 8.4828 0 0 0 0 0 0 0 0 0 0 0 0
0 21.4 0 0 0 12.6094 9.2 0 0 0 0 0 0 0
0 15.7 0 0 0 0 0 4.7 15.8 0 0 0 0 0
0 0 0 12.6094 0 0 0 0 0 0 0 0 0 0
0 0 0 9.2 0 0 0 0 0 16.1 7.4 0 0 0
0 0 0 0 4.7 0 0 0 0 0 0 0 0 0
0 0 0 0 15.8 0 0 0 0 9.2 0 6.2698 0 0
0 0 0 0 0 0 16.1 0 9.2 0 0 0 10.5 0
0 0 0 0 0 0 7.4 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 6.2698 0 0 0 0 0
0 0 0 0 0 0 0 0 0 10.5 0 0 0 10.5493
0 0 0 0 0 0 0 0 0 0 0 0 10.5493 0
