0 A B C D E F G H I J K L T

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 8.2 21.4 15.7 0 0 0 0 0 0 0 0 0
0 8.2 0 0 0 0 0 0 0 0 0 0 0 0
0 21.4 0 0 0 14.2008 9.2 0 0 0 0 0 0 0
0 15.7 0 0 0 0 0 4.3109 15.8 0 0 0 0 0
0 0 0 14.2008 0 0 0 0 0 0 0 0 0 0
0 0 0 9.2 0 0 0 0 0 16.1 7.1528 0 0 0
0 0 0 0 4.3109 0 0 0 0 0 0 0 0 4.0793
0 0 0 0 15.8 0 0 0 0 9.2 0 6.4 0 0
0 0 0 0 0 0 16.1 0 9.2 0 0 0 9.717 0
0 0 0 0 0 0 7.1528 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 6.4 0 0 0 0 0
0 0 0 0 0 0 0 0 0 9.717 0 0 0 0
0 0 0 0 0 0 0 4.0793 0 0 0 0 0 0
