0 A B C D E F G H I J K L R

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 8.2 21.4 15.7 0 0 0 0 0 0 0 0 0
0 8.2 0 0 0 0 0 0 0 0 0 0 0 0
0 21.4 0 0 0 13.8 9.2 0 0 0 0 0 0 0
0 15.7 0 0 0 0 0 4.8852 15.8 0 0 0 0 0
0 0 0 13.8 0 0 0 0 0 0 0 0 0 0
0 0 0 9.2 0 0 0 0 0 16.1 7.596 0 0 0
0 0 0 0 4.8852 0 0 0 0 0 0 0 0 0
0 0 0 0 15.8 0 0 0 0 9.2 0 6.4 0 0
0 0 0 0 0 0 16.1 0 9.2 0 0 0 9.6088 0
0 0 0 0 0 0 7.596 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 6.4 0 0 0 0 6.5554
0 0 0 0 0 0 0 0 0 9.6088 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 6.5554 0 0
