0 A B C D E F G H I J K L H

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 71.8151 124.1 105.8 0 0 0 0 0 0 0 0 0
0 71.8151 0 0 0 0 0 0 0 0 0 0 0 0
0 124.1 0 0 0 94.7 81.4 0 0 0 0 0 0 0
0 105.8 0 0 0 0 0 44.1145 107.2 0 0 0 0 0
0 0 0 94.7 0 0 0 0 0 0 0 0 0 0
0 0 0 81.4 0 0 0 0 0 109.5 57.3 0 0 0
0 0 0 0 44.1145 0 0 0 0 0 0 0 0 0
0 0 0 0 107.2 0 0 0 0 98.4 0 56.0043 0 0
0 0 0 0 0 0 109.5 0 98.4 0 0 0 91.4934 0
0 0 0 0 0 0 57.3 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 56.0043 0 0 0 0 0
0 0 0 0 0 0 0 0 0 91.4934 0 0 0 105.5865
0 0 0 0 0 0 0 0 0 0 0 0 105.5865 0
