0 A B C D E F G H I J K L W

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 76.7942 124.1 105.8 0 0 0 0 0 0 0 0 138.8008
0 76.7942 0 0 0 0 0 0 0 0 0 0 0 0
0 124.1 0 0 0 94.7 81.4 0 0 0 0 0 0 0
0 105.8 0 0 0 0 0 47.6 107.2 0 0 0 0 0
0 0 0 94.7 0 0 0 0 0 0 0 0 0 0
0 0 0 81.4 0 0 0 0 0 99.6389 62.6873 0 0 0
0 0 0 0 47.6 0 0 0 0 0 0 0 0 0
0 0 0 0 107.2 0 0 0 0 98.4 0 59.3 0 0
0 0 0 0 0 0 99.6389 0 98.4 0 0 0 83.9951 0
0 0 0 0 0 0 62.6873 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 59.3 0 0 0 0 0
0 0 0 0 0 0 0 0 0 83.9951 0 0 0 0
0 138.8008 0 0 0 0 0 0 0 0 0 0 0 0
