0 A B C D E F G H I J K L Y

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 74.2027 124.1 105.8 0 0 0 0 0 0 0 0 0
0 74.2027 0 0 0 0 0 0 0 0 0 0 0 82.0237
0 124.1 0 0 0 0 81.4 0 0 0 0 0 0 0
0 105.8 0 0 0 0 0 47.6 107.2 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 81.4 0 0 0 0 0 109.5 57.3 0 0 0
0 0 0 0 47.6 0 0 0 0 0 0 0 0 0
0 0 0 0 107.2 0 0 0 0 98.4 0 59.3 0 0
0 0 0 0 0 0 109.5 0 98.4 0 0 0 84.1 0
0 0 0 0 0 0 57.3 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 59.3 0 0 0 0 0
0 0 0 0 0 0 0 0 0 84.1 0 0 0 0
0 0 82.0237 0 0 0 0 0 0 0 0 0 0 0
