0 A B C D E F G H I J K L B

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 71.3 124.1 98.8711 0 0 0 0 0 0 0 0 0
0 71.3 0 0 0 0 0 0 0 0 0 0 0 0
0 124.1 0 0 0 0 81.4 0 0 0 0 0 0 0
0 98.8711 0 0 0 0 0 0 107.2 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 81.4 0 0 0 0 0 114.3185 57.93 0 0 101.1995
0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 107.2 0 0 0 0 98.4 0 64.8009 0 0
0 0 0 0 0 0 114.3185 0 98.4 0 0 0 84.1 0
0 0 0 0 0 0 57.93 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 64.8009 0 0 0 0 0
0 0 0 0 0 0 0 0 0 84.1 0 0 0 0
0 0 0 0 0 0 101.1995 0 0 0 0 0 0 0
