0 A B C D E F G H I J K L F

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 77.188 124.1 105.8 0 0 0 0 0 0 0 0 0
0 77.188 0 0 0 0 0 0 0 0 0 0 0 0
0 124.1 0 0 0 91.1873 81.4 0 0 0 0 0 0 0
0 105.8 0 0 0 0 0 47.6 107.2 0 0 0 0 0
0 0 0 91.1873 0 0 0 0 0 0 0 0 0 0
0 0 0 81.4 0 0 0 0 0 109.5 61.4725 0 0 0
0 0 0 0 47.6 0 0 0 0 0 0 0 0 0
0 0 0 0 107.2 0 0 0 0 98.4 0 0 0 0
0 0 0 0 0 0 109.5 0 98.4 0 0 0 81.2596 0
0 0 0 0 0 0 61.4725 0 0 0 0 0 0 52.143
0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 81.2596 0 0 0 0
0 0 0 0 0 0 0 0 0 0 52.143 0 0 0
