0 A B C D E F G H I J K L N

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 76.9595 124.1 105.8 0 0 0 0 0 0 0 0 0
0 76.9595 0 0 0 0 0 0 0 0 0 0 0 91.8369
0 124.1 0 0 0 94.7 81.4 0 0 0 0 0 0 0
0 105.8 0 0 0 0 0 44.2421 107.2 0 0 0 0 0
0 0 0 94.7 0 0 0 0 0 0 0 0 0 0
0 0 0 81.4 0 0 0 0 0 109.5 57.3 0 0 0
0 0 0 0 44.2421 0 0 0 0 0 0 0 0 0
0 0 0 0 107.2 0 0 0 0 98.4 0 59.3 0 0
0 0 0 0 0 0 109.5 0 98.4 0 0 0 84.1 0
0 0 0 0 0 0 57.3 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 59.3 0 0 0 0 0
0 0 0 0 0 0 0 0 0 84.1 0 0 0 0
0 0 91.8369 0 0 0 0 0 0 0 0 0 0 0
