0 A B C D E F G H I J K L Q

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 69.0663 124.1 105.8 0 0 0 0 0 0 0 0 0
0 69.0663 0 0 0 0 0 0 0 0 0 0 0 0
0 124.1 0 0 0 94.7 81.4 0 0 0 0 0 0 0
0 105.8 0 0 0 0 0 47.6 107.2 0 0 0 0 0
0 0 0 94.7 0 0 0 0 0 0 0 0 0 0
0 0 0 81.4 0 0 0 0 0 109.5 57.3 0 0 0
0 0 0 0 47.6 0 0 0 0 0 0 0 0 0
0 0 0 0 107.2 0 0 0 0 90.973 0 61.2527 0 91.8595
0 0 0 0 0 0 109.5 0 90.973 0 0 0 84.1 0
0 0 0 0 0 0 57.3 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 61.2527 0 0 0 0 0
0 0 0 0 0 0 0 0 0 84.1 0 0 0 0
0 0 0 0 0 0 0 0 91.8595 0 0 0 0 0
