0 A B C D E F G H I J K L B

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 71.3 124.1 105.8 0 0 0 0 0 0 0 0 0
0 71.3 0 0 0 0 0 0 0 0 0 0 0 0
0 124.1 0 0 0 94.7 81.4 0 0 0 0 0 0 0
0 105.8 0 0 0 0 0 0 107.2 0 0 0 0 0
0 0 0 94.7 0 0 0 0 0 0 0 0 0 0
0 0 0 81.4 0 0 0 0 0 109.5 57.3 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 107.2 0 0 0 0 98.4 0 57.8057 0 0
0 0 0 0 0 0 109.5 0 98.4 0 0 0 90.4821 0
0 0 0 0 0 0 57.3 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 57.8057 0 0 0 0 0
0 0 0 0 0 0 0 0 0 90.4821 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0
