0 A B C D E F G H I J K L R

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 76.1844 124.1 105.8 0 0 0 0 0 0 0 0 0
0 76.1844 0 0 0 0 0 0 0 0 0 0 0 0
0 124.1 0 0 0 93.5766 81.4 0 0 0 0 0 0 0
0 105.8 0 0 0 0 0 42.8597 107.2 0 0 0 0 0
0 0 0 93.5766 0 0 0 0 0 0 0 0 0 0
0 0 0 81.4 0 0 0 0 0 109.5 59.5094 0 0 0
0 0 0 0 42.8597 0 0 0 0 0 0 0 0 0
0 0 0 0 107.2 0 0 0 0 98.4 0 59.3 0 0
0 0 0 0 0 0 109.5 0 98.4 0 0 0 0 0
0 0 0 0 0 0 59.5094 0 0 0 0 0 0 67.8113
0 0 0 0 0 0 0 0 59.3 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 67.8113 0 0 0
