0 A B C D E F G H I J K L W

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 71.3 124.1 105.8 0 0 0 0 0 0 0 0 0
0 71.3 0 0 0 0 0 0 0 0 0 0 0 0
0 124.1 0 0 0 94.7 81.4 0 0 0 0 0 0 0
0 105.8 0 0 0 0 0 44.1121 107.2 0 0 0 0 0
0 0 0 94.7 0 0 0 0 0 0 0 0 0 0
0 0 0 81.4 0 0 0 0 0 116.1372 62.7818 0 0 0
0 0 0 0 44.1121 0 0 0 0 0 0 0 0 0
0 0 0 0 107.2 0 0 0 0 98.4 0 59.3 0 127.0595
0 0 0 0 0 0 116.1372 0 98.4 0 0 0 0 0
0 0 0 0 0 0 62.7818 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 59.3 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 127.0595 0 0 0 0 0
