0 A B C D E F G H I J K L O

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 67.4303 122.663 105.8 0 0 0 0 0 0 0 0 0
0 67.4303 0 0 0 0 0 0 0 0 0 0 0 0
0 122.663 0 0 0 94.7 81.4 0 0 0 0 0 0 0
0 105.8 0 0 0 0 0 47.6 107.2 0 0 0 0 0
0 0 0 94.7 0 0 0 0 0 0 0 0 0 0
0 0 0 81.4 0 0 0 0 0 109.5 57.3 0 0 0
0 0 0 0 47.6 0 0 0 0 0 0 0 0 0
0 0 0 0 107.2 0 0 0 0 98.4 0 0 0 0
0 0 0 0 0 0 109.5 0 98.4 0 0 0 79.8737 0
0 0 0 0 0 0 57.3 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 79.8737 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0
