0 A B C D E F G H I J K L C

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 71.3 124.1 105.8 0 0 0 0 0 0 0 0 0
0 71.3 0 0 0 0 0 0 0 0 0 0 0 84.0809
0 124.1 0 0 0 96.4427 81.4 0 0 0 0 0 0 0
0 105.8 0 0 0 0 0 44.714 107.2 0 0 0 0 0
0 0 0 96.4427 0 0 0 0 0 0 0 0 0 0
0 0 0 81.4 0 0 0 0 0 109.5 57.3 0 0 0
0 0 0 0 44.714 0 0 0 0 0 0 0 0 0
0 0 0 0 107.2 0 0 0 0 98.4 0 0 0 0
0 0 0 0 0 0 109.5 0 98.4 0 0 0 92.046 0
0 0 0 0 0 0 57.3 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 92.046 0 0 0 0
0 0 84.0809 0 0 0 0 0 0 0 0 0 0 0
