0 A B C D E F G H I J K L H

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 64.7894 124.1 105.8 0 0 0 0 0 0 0 0 0
0 64.7894 0 0 0 0 0 0 0 0 0 0 0 77.0179
0 124.1 0 0 0 94.7 79.9575 0 0 0 0 0 0 0
0 105.8 0 0 0 0 0 47.6 107.2 0 0 0 0 0
0 0 0 94.7 0 0 0 0 0 0 0 0 0 0
0 0 0 79.9575 0 0 0 0 0 109.5 54.0365 0 0 0
0 0 0 0 47.6 0 0 0 0 0 0 0 0 0
0 0 0 0 107.2 0 0 0 0 98.4 0 59.8182 0 0
0 0 0 0 0 0 109.5 0 98.4 0 0 0 84.1 0
0 0 0 0 0 0 54.0365 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 59.8182 0 0 0 0 0
0 0 0 0 0 0 0 0 0 84.1 0 0 0 0
0 0 77.0179 0 0 0 0 0 0 0 0 0 0 0
