0 A B C D E F G H I J K L P

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 71.3 124.1 111.2184 0 0 0 0 0 0 0 0 0
0 71.3 0 0 0 0 0 0 0 0 0 0 0 0
0 124.1 0 0 0 94.7 81.4 0 0 0 0 0 0 0
0 111.2184 0 0 0 0 0 47.6 107.2 0 0 0 0 0
0 0 0 94.7 0 0 0 0 0 0 0 0 0 0
0 0 0 81.4 0 0 0 0 0 109.5 57.3 0 0 0
0 0 0 0 47.6 0 0 0 0 0 0 0 0 0
0 0 0 0 107.2 0 0 0 0 98.4 0 0 0 0
0 0 0 0 0 0 109.5 0 98.4 0 0 0 86.2006 0
0 0 0 0 0 0 57.3 0 0 0 0 0 0 66.4072
0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 86.2006 0 0 0 0
0 0 0 0 0 0 0 0 0 0 66.4072 0 0 0
