0 A B C D E F G H I J K L T

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 71.3 124.1 105.8 0 0 0 0 0 0 0 0 0
0 71.3 0 0 0 0 0 0 0 0 0 0 0 0
0 124.1 0 0 0 0 81.4 0 0 0 0 0 0 0
0 105.8 0 0 0 0 0 47.6 113.1459 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 81.4 0 0 0 0 0 109.5 57.3 0 0 0
0 0 0 0 47.6 0 0 0 0 0 0 0 0 0
0 0 0 0 113.1459 0 0 0 0 88.868 0 55.9752 0 0
0 0 0 0 0 0 109.5 0 88.868 0 0 0 84.1 0
0 0 0 0 0 0 57.3 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 55.9752 0 0 0 0 0
0 0 0 0 0 0 0 0 0 84.1 0 0 0 67.4205
0 0 0 0 0 0 0 0 0 0 0 0 67.4205 0
