0 A B C D E F G H I J K L H

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 65.9992 124.1 105.8 0 0 0 0 0 0 0 0 0
0 65.9992 0 0 0 0 0 0 0 0 0 0 0 0
0 124.1 0 0 0 94.7 81.4 0 0 0 0 0 0 0
0 105.8 0 0 0 0 0 0 107.2 0 0 0 0 0
0 0 0 94.7 0 0 0 0 0 0 0 0 0 0
0 0 0 81.4 0 0 0 0 0 109.5 57.3 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 107.2 0 0 0 0 98.4 0 59.3 0 0
0 0 0 0 0 0 109.5 0 98.4 0 0 0 81.3517 117.6449
0 0 0 0 0 0 57.3 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 59.3 0 0 0 0 0
0 0 0 0 0 0 0 0 0 81.3517 0 0 0 0
0 0 0 0 0 0 0 0 0 117.6449 0 0 0 0
