0 A B C D E F G H I J K L F

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 71.3 124.1 105.8 0 0 0 0 0 0 0 0 0
0 71.3 0 0 0 0 0 0 0 0 0 0 0 66.1742
0 124.1 0 0 0 94.878 81.4 0 0 0 0 0 0 0
0 105.8 0 0 0 0 0 49.2662 107.2 0 0 0 0 0
0 0 0 94.878 0 0 0 0 0 0 0 0 0 0
0 0 0 81.4 0 0 0 0 0 109.5 58.6028 0 0 0
0 0 0 0 49.2662 0 0 0 0 0 0 0 0 0
0 0 0 0 107.2 0 0 0 0 98.4 0 56.7628 0 0
0 0 0 0 0 0 109.5 0 98.4 0 0 0 84.1 0
0 0 0 0 0 0 58.6028 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 56.7628 0 0 0 0 0
0 0 0 0 0 0 0 0 0 84.1 0 0 0 0
0 0 66.1742 0 0 0 0 0 0 0 0 0 0 0
