0 A B C D E F G H I J K L M

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 71.3 124.1 105.8 0 0 0 0 0 0 0 0 0
0 71.3 0 0 0 0 0 0 0 0 0 0 0 0
0 124.1 0 0 0 103.2241 81.4 0 0 0 0 0 0 0
0 105.8 0 0 0 0 0 44.2337 107.2 0 0 0 0 0
0 0 0 103.2241 0 0 0 0 0 0 0 0 0 0
0 0 0 81.4 0 0 0 0 0 109.5 54.4059 0 0 0
0 0 0 0 44.2337 0 0 0 0 0 0 0 0 43.8324
0 0 0 0 107.2 0 0 0 0 98.4 0 59.3 0 0
0 0 0 0 0 0 109.5 0 98.4 0 0 0 84.1 0
0 0 0 0 0 0 54.4059 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 59.3 0 0 0 0 0
0 0 0 0 0 0 0 0 0 84.1 0 0 0 0
0 0 0 0 0 0 0 43.8324 0 0 0 0 0 0
