0 A B C D E F G H I J K L F

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 71.3 124.1 105.8 0 0 0 0 0 0 0 0 0
0 71.3 0 0 0 0 0 0 0 0 0 0 0 0
0 124.1 0 0 0 94.7 85.9053 0 0 0 0 0 0 0
0 105.8 0 0 0 0 0 47.6 112.8632 0 0 0 0 128.5831
0 0 0 94.7 0 0 0 0 0 0 0 0 0 0
0 0 0 85.9053 0 0 0 0 0 109.5 57.3 0 0 0
0 0 0 0 47.6 0 0 0 0 0 0 0 0 0
0 0 0 0 112.8632 0 0 0 0 98.4 0 61.7008 0 0
0 0 0 0 0 0 109.5 0 98.4 0 0 0 82.7679 0
0 0 0 0 0 0 57.3 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 61.7008 0 0 0 0 0
0 0 0 0 0 0 0 0 0 82.7679 0 0 0 0
0 0 0 0 128.5831 0 0 0 0 0 0 0 0 0
