0 A B C D E F G H I J K L N

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 71.3 124.1 105.8 0 0 0 0 0 0 0 0 0
0 71.3 0 0 0 0 0 0 0 0 0 0 0 0
0 124.1 0 0 0 94.7 81.4 0 0 0 0 0 0 0
0 105.8 0 0 0 0 0 45.485 107.2 0 0 0 0 0
0 0 0 94.7 0 0 0 0 0 0 0 0 0 0
0 0 0 81.4 0 0 0 0 0 109.5 57.6102 0 0 0
0 0 0 0 45.485 0 0 0 0 0 0 0 0 52.2166
0 0 0 0 107.2 0 0 0 0 98.4 0 0 0 0
0 0 0 0 0 0 109.5 0 98.4 0 0 0 88.5099 0
0 0 0 0 0 0 57.6102 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 88.5099 0 0 0 0
0 0 0 0 0 0 0 52.2166 0 0 0 0 0 0
