0 A B C D E F G H I J K L R

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 68.1508 124.1 107.2665 0 0 0 0 0 0 0 0 104.2801
0 68.1508 0 0 0 0 0 0 0 0 0 0 0 0
0 124.1 0 0 0 94.7026 81.4 0 0 0 0 0 0 0
0 107.2665 0 0 0 0 0 47.6 107.2 0 0 0 0 0
0 0 0 94.7026 0 0 0 0 0 0 0 0 0 0
0 0 0 81.4 0 0 0 0 0 106.5337 57.3 0 0 0
0 0 0 0 47.6 0 0 0 0 0 0 0 0 0
0 0 0 0 107.2 0 0 0 0 98.4 0 59.3 0 0
0 0 0 0 0 0 106.5337 0 98.4 0 0 0 84.1 0
0 0 0 0 0 0 57.3 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 59.3 0 0 0 0 0
0 0 0 0 0 0 0 0 0 84.1 0 0 0 0
0 104.2801 0 0 0 0 0 0 0 0 0 0 0 0
