0 A B C D E F G H I J K L Q

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 71.3 124.1 105.8 0 0 0 0 0 0 0 0 0
0 71.3 0 0 0 0 0 0 0 0 0 0 0 0
0 124.1 0 0 0 96.5664 81.4 0 0 0 0 0 0 0
0 105.8 0 0 0 0 0 47.6 101.3396 0 0 0 0 0
0 0 0 96.5664 0 0 0 0 0 0 0 0 0 0
0 0 0 81.4 0 0 0 0 0 109.5 57.3 0 0 0
0 0 0 0 47.6 0 0 0 0 0 0 0 0 0
0 0 0 0 101.3396 0 0 0 0 94.2146 0 59.3 0 0
0 0 0 0 0 0 109.5 0 94.2146 0 0 0 84.1 0
0 0 0 0 0 0 57.3 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 59.3 0 0 0 0 0
0 0 0 0 0 0 0 0 0 84.1 0 0 0 80.2246
0 0 0 0 0 0 0 0 0 0 0 0 80.2246 0
