0 A B C D E F G H I J K L Q

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 71.3 124.1 105.8 0 0 0 0 0 0 0 0 0
0 71.3 0 0 0 0 0 0 0 0 0 0 0 0
0 124.1 0 0 0 94.7 80.2029 0 0 0 0 0 0 0
0 105.8 0 0 0 0 0 47.0491 107.2 0 0 0 0 0
0 0 0 94.7 0 0 0 0 0 0 0 0 0 0
0 0 0 80.2029 0 0 0 0 0 109.5 54.2498 0 0 0
0 0 0 0 47.0491 0 0 0 0 0 0 0 0 0
0 0 0 0 107.2 0 0 0 0 98.4 0 64.3336 0 0
0 0 0 0 0 0 109.5 0 98.4 0 0 0 84.1 0
0 0 0 0 0 0 54.2498 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 64.3336 0 0 0 0 72.3082
0 0 0 0 0 0 0 0 0 84.1 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 72.3082 0 0
