0 A B C D E F G H I J K L L

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 75.79 124.1 105.8 0 0 0 0 0 0 0 0 0
0 75.79 0 0 0 0 0 0 0 0 0 0 0 0
0 124.1 0 0 0 94.7 81.4 0 0 0 0 0 0 0
0 105.8 0 0 0 0 0 43.4488 107.2 0 0 0 0 103.0627
0 0 0 94.7 0 0 0 0 0 0 0 0 0 0
0 0 0 81.4 0 0 0 0 0 109.5 52.5264 0 0 0
0 0 0 0 43.4488 0 0 0 0 0 0 0 0 0
0 0 0 0 107.2 0 0 0 0 98.4 0 56.2198 0 0
0 0 0 0 0 0 109.5 0 98.4 0 0 0 84.1 0
0 0 0 0 0 0 52.5264 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 56.2198 0 0 0 0 0
0 0 0 0 0 0 0 0 0 84.1 0 0 0 0
0 0 0 0 103.0627 0 0 0 0 0 0 0 0 0
