0 A B C D E F G H I J K L D

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 71.3 125.0724 105.8 0 0 0 0 0 0 0 0 0
0 71.3 0 0 0 0 0 0 0 0 0 0 0 0
0 125.0724 0 0 0 94.7 81.4 0 0 0 0 0 0 126.3965
0 105.8 0 0 0 0 0 0 107.2 0 0 0 0 0
0 0 0 94.7 0 0 0 0 0 0 0 0 0 0
0 0 0 81.4 0 0 0 0 0 109.5 52.5746 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 107.2 0 0 0 0 106.077 0 63.7612 0 0
0 0 0 0 0 0 109.5 0 106.077 0 0 0 84.1 0
0 0 0 0 0 0 52.5746 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 63.7612 0 0 0 0 0
0 0 0 0 0 0 0 0 0 84.1 0 0 0 0
0 0 0 126.3965 0 0 0 0 0 0 0 0 0 0
