0 A B C D E F G H I J K L X

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 77.4089 124.1 105.8 0 0 0 0 0 0 0 0 0
0 77.4089 0 0 0 0 0 0 0 0 0 0 0 0
0 124.1 0 0 0 94.7 77.6921 0 0 0 0 0 0 111.458
0 105.8 0 0 0 0 0 47.6 116.8021 0 0 0 0 0
0 0 0 94.7 0 0 0 0 0 0 0 0 0 0
0 0 0 77.6921 0 0 0 0 0 109.5 57.3 0 0 0
0 0 0 0 47.6 0 0 0 0 0 0 0 0 0
0 0 0 0 116.8021 0 0 0 0 98.4 0 62.7477 0 0
0 0 0 0 0 0 109.5 0 98.4 0 0 0 84.1 0
0 0 0 0 0 0 57.3 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 62.7477 0 0 0 0 0
0 0 0 0 0 0 0 0 0 84.1 0 0 0 0
0 0 0 111.458 0 0 0 0 0 0 0 0 0 0
