0 A B C D E F G H I J K L K

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 124.1 105.8 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 124.1 0 0 0 96.7678 81.4 0 0 0 0 0 0 0
0 105.8 0 0 0 0 0 43.6659 107.2 0 0 0 0 0
0 0 0 96.7678 0 0 0 0 0 0 0 0 0 114.1665
0 0 0 81.4 0 0 0 0 0 109.5 0 0 0 0
0 0 0 0 43.6659 0 0 0 0 0 0 0 0 0
0 0 0 0 107.2 0 0 0 0 98.4 0 64.3761 0 0
0 0 0 0 0 0 109.5 0 98.4 0 0 0 84.1 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 64.3761 0 0 0 0 0
0 0 0 0 0 0 0 0 0 84.1 0 0 0 0
0 0 0 0 0 114.1665 0 0 0 0 0 0 0 0
