0 A B C D E F G H I J K L W

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 66.3341 124.1 105.8 0 0 0 0 0 0 0 0 0
0 66.3341 0 0 0 0 0 0 0 0 0 0 0 0
0 124.1 0 0 0 94.7 81.4 0 0 0 0 0 0 0
0 105.8 0 0 0 0 0 0 107.2 0 0 0 0 0
0 0 0 94.7 0 0 0 0 0 0 0 0 0 0
0 0 0 81.4 0 0 0 0 0 105.8608 58.8335 0 0 94.5215
0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 107.2 0 0 0 0 98.4 0 58.1011 0 0
0 0 0 0 0 0 105.8608 0 98.4 0 0 0 84.1 0
0 0 0 0 0 0 58.8335 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 58.1011 0 0 0 0 0
0 0 0 0 0 0 0 0 0 84.1 0 0 0 0
0 0 0 0 0 0 94.5215 0 0 0 0 0 0 0
