0 A B C D E F G H I J K L O

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 71.3 131.4756 105.8 0 0 0 0 0 0 0 0 0
0 71.3 0 0 0 0 0 0 0 0 0 0 0 0
0 131.4756 0 0 0 87.4221 81.4 0 0 0 0 0 0 116.2339
0 105.8 0 0 0 0 0 0 107.2 0 0 0 0 0
0 0 0 87.4221 0 0 0 0 0 0 0 0 0 0
0 0 0 81.4 0 0 0 0 0 117.2074 57.3 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 107.2 0 0 0 0 98.4 0 59.3 0 0
0 0 0 0 0 0 117.2074 0 98.4 0 0 0 84.1 0
0 0 0 0 0 0 57.3 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 59.3 0 0 0 0 0
0 0 0 0 0 0 0 0 0 84.1 0 0 0 0
0 0 0 116.2339 0 0 0 0 0 0 0 0 0 0
