0 A B C D E F G H I J K L W

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 71.3 124.1 105.8 0 0 0 0 0 0 0 0 0
0 71.3 0 0 0 0 0 0 0 0 0 0 0 0
0 124.1 0 0 0 94.7 81.4 0 0 0 0 0 0 0
0 105.8 0 0 0 0 0 47.6 107.2 0 0 0 0 0
0 0 0 94.7 0 0 0 0 0 0 0 0 0 0
0 0 0 81.4 0 0 0 0 0 109.5 54.2252 0 0 0
0 0 0 0 47.6 0 0 0 0 0 0 0 0 0
0 0 0 0 107.2 0 0 0 0 98.4 0 61.5281 0 0
0 0 0 0 0 0 109.5 0 98.4 0 0 0 75.7286 0
0 0 0 0 0 0 54.2252 0 0 0 0 0 0 46.27
0 0 0 0 0 0 0 0 61.5281 0 0 0 0 0
0 0 0 0 0 0 0 0 0 75.7286 0 0 0 0
0 0 0 0 0 0 0 0 0 0 46.27 0 0 0
