0 A B C D E F G H I J K L O

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 66.4307 124.1 105.8 0 0 0 0 0 0 0 0 0
0 66.4307 0 0 0 0 0 0 0 0 0 0 0 0
0 124.1 0 0 0 95.2684 81.4 0 0 0 0 0 0 0
0 105.8 0 0 0 0 0 47.6 107.2 0 0 0 0 0
0 0 0 95.2684 0 0 0 0 0 0 0 0 0 0
0 0 0 81.4 0 0 0 0 0 109.5 62.6796 0 0 0
0 0 0 0 47.6 0 0 0 0 0 0 0 0 0
0 0 0 0 107.2 0 0 0 0 98.4 0 61.2741 0 0
0 0 0 0 0 0 109.5 0 98.4 0 0 0 84.1 0
0 0 0 0 0 0 62.6796 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 61.2741 0 0 0 0 62.801
0 0 0 0 0 0 0 0 0 84.1 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 62.801 0 0
