0 A B C D E F G H I J K L U

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 71.3 124.1 105.8 0 0 0 0 0 0 0 0 0
0 71.3 0 0 0 0 0 0 0 0 0 0 0 66.3746
0 124.1 0 0 0 98.6339 80.7367 0 0 0 0 0 0 0
0 105.8 0 0 0 0 0 47.6 107.2 0 0 0 0 0
0 0 0 98.6339 0 0 0 0 0 0 0 0 0 0
0 0 0 80.7367 0 0 0 0 0 109.5 0 0 0 0
0 0 0 0 47.6 0 0 0 0 0 0 0 0 0
0 0 0 0 107.2 0 0 0 0 106.7876 0 59.3 0 0
0 0 0 0 0 0 109.5 0 106.7876 0 0 0 84.1 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 59.3 0 0 0 0 0
0 0 0 0 0 0 0 0 0 84.1 0 0 0 0
0 0 66.3746 0 0 0 0 0 0 0 0 0 0 0
